HAL_NAME, HAL_OWNER, HIDL, AIDL, AIDL_VERSION 
android.hardware.net.nlinterceptor,google,,x,"=""1""" 
android.hardware.neuralnetworks,google,,x,"=""1-4""" 
android.hardware.oemlock,google,,x,"=""1""" 
android.hardware.power,google,,x,"=""4""" 
android.hardware.power.stats,google,,x,"=""2""" 
android.hardware.radio.data,google,,x,"=""2""" 
android.hardware.radio.ims,google,,x,"=""1""" 
android.hardware.radio.ims.media,google,,x,"=""1""" 
android.hardware.radio.messaging,google,,x,"=""2""" 
android.hardware.radio.modem,google,,x,"=""2""" 
android.hardware.radio.network,google,,x,"=""2""" 
android.hardware.radio.sap,google,,x,"=""1""" 
android.hardware.radio.sim,google,,x,"=""2""" 
android.hardware.radio.voice,google,,x,"=""2""" 
android.hardware.rebootescrow,google,,x,"=""1""" 
android.hardware.renderscript,google,x,, 
android.hardware.secure_element,google,,x,"=""1""" 
android.hardware.security.keymint,google,,x,"=""1-3""" 
android.hardware.security.secureclock,google,,x,"=""1""" 
android.hardware.security.sharedsecret,google,,x,"=""1""" 
android.hardware.sensors,google,,x,"=""2""" 
android.hardware.soundtrigger,google,x,, 
android.hardware.soundtrigger3,google,,x,"=""1""" 
android.hardware.tetheroffload.config,google,x,, 
android.hardware.tetheroffload.control,google,x,, 
android.hardware.thermal,google,,x,"=""1""" 
android.hardware.tv.hdmi.cec,google,,x,"=""1""" 
android.hardware.tv.hdmi.connection,google,,x,"=""1""" 
android.hardware.tv.hdmi.earc,google,,x,"=""1""" 
android.hardware.tv.input,google,,x,"=""1""" 
android.hardware.tv.tuner,google,,x,"=""1-2""" 
android.hardware.usb,google,,x,"=""1-2""" 
android.hardware.usb.gadget,google,,x,"=""1""" 
android.hardware.uwb,google,,x,"=""1""" 
android.hardware.vibrator,google,,x,"=""1-2""" 
android.hardware.weaver,google,,x,"=""2""" 
android.hardware.wifi,google,,x,"=""1""" 
android.hardware.wifi.hostapd,google,,x,"=""1""" 
mapper,qti,,, 
android.frameworks.stats,google,,x,"=""2""" 
android.frameworks.location.altitude,google,,x,"=""1""" 
android.frameworks.cameraservice.service,google,x,x,"=""1""" 
android.system.suspend,google,,x,"=""1""" 
android.system.keystore2,google,,x,"=""3""" 
vendor.qti.data.mwqemaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.bluetooth.audio,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.api,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.constants,qti,,x,"=""1""" 
vendor.qti.hardware.data.cneaidlservice.internal.server,qti,,x,"=""1""" 
vendor.qti.hardware.data.dataactivity,qti,,x,"=""1""" 
vendor.qti.hardware.data.dynamicddsaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.flowaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.ka,qti,,x,"=""1""" 
vendor.qti.hardware.data.lceaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.data.qmiaidlservice,qti,,x,"=""1""" 
vendor.qti.hardware.debugutils_aidl,qti,,x,"=""1""" 
vendor.qti.hardware.embmsslaidl,qti,,x,"=""1""" 
vendor.qti.hardware.radio.common,qti,,x,"=""1""" 
vendor.qti.hardware.secureprocessor.common,qti,,x,"=""1""" 
vendor.qti.hardware.secureprocessor.config,qti,,x,"=""1""" 
vendor.qti.ims.callcapabilityaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.configaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.connectionaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.rcssipaidlservice,qti,,x,"=""1""" 
vendor.qti.ims.rcsuceaidlservice,qti,,x,"=""1""" 
vendor.qti.latencyaidlservice,qti,,x,"=""1""" 
vendor.qti.qesdsys,qti,,x,"=""1-4""" 
